kv_size,hbm_gen,channels,op,count,bytes,dt_ps,achieved_gbps,sim_latency_ns
128,HBM2,8,H_PREFETCH_M,20,163840,2029000,80.74913750616068,139769.0
128,HBM2,8,H_PREFETCH_V,16,8192,398000,20.582914572864322,139769.0
128,HBM2,8,H_STORE_V,32,32768,3556000,9.214848143982003,139769.0
128,HBM2,8,_total,1,204800,139769000,1.4652748463536263,139769.0
128,HBM2,16,H_PREFETCH_M,20,163840,1748000,93.7299771167048,139240.0
128,HBM2,16,H_PREFETCH_V,16,8192,394000,20.791878172588834,139240.0
128,HBM2,16,H_STORE_V,32,32768,3312000,9.893719806763285,139240.0
128,HBM2,16,_total,1,204800,139240000,1.4708417121516806,139240.0
128,HBM2,32,H_PREFETCH_M,20,163840,1609000,101.8272218769422,138963.0
128,HBM2,32,H_PREFETCH_V,16,8192,392000,20.89795918367347,138963.0
128,HBM2,32,H_STORE_V,32,32768,3176000,10.317380352644836,138963.0
128,HBM2,32,_total,1,204800,138963000,1.4737735944100228,138963.0
128,HBM3,8,H_PREFETCH_M,20,163840,3780000,43.34391534391534,141648.0
128,HBM3,8,H_PREFETCH_V,16,8192,526000,15.574144486692015,141648.0
128,HBM3,8,H_STORE_V,32,32768,3556000,9.214848143982003,141648.0
128,HBM3,8,_total,1,204800,141648000,1.445837569185587,141648.0
128,HBM3,16,H_PREFETCH_M,20,163840,3166000,51.74984207201517,140770.0
128,HBM3,16,H_PREFETCH_V,16,8192,506000,16.1897233201581,140770.0
128,HBM3,16,H_STORE_V,32,32768,3312000,9.893719806763285,140770.0
128,HBM3,16,_total,1,204800,140770000,1.4548554379484264,140770.0
128,HBM3,32,H_PREFETCH_M,20,163840,2853000,57.4272695408342,140311.0
128,HBM3,32,H_PREFETCH_V,16,8192,496000,16.516129032258064,140311.0
128,HBM3,32,H_STORE_V,32,32768,3176000,10.317380352644836,140311.0
128,HBM3,32,_total,1,204800,140311000,1.4596147130303396,140311.0
256,HBM2,8,H_PREFETCH_M,30,245760,3090000,79.53398058252428,182856.0
256,HBM2,8,H_PREFETCH_V,16,8192,398000,20.582914572864322,182856.0
256,HBM2,8,H_STORE_V,32,32768,3536000,9.266968325791854,182856.0
256,HBM2,8,_total,1,286720,182856000,1.5680098000612501,182856.0
256,HBM2,16,H_PREFETCH_M,30,245760,2613000,94.05281285878301,182335.0
256,HBM2,16,H_PREFETCH_V,16,8192,394000,20.791878172588834,182335.0
256,HBM2,16,H_STORE_V,32,32768,3496000,9.37299771167048,182335.0
256,HBM2,16,_total,1,286720,182335000,1.5724901966161187,182335.0
256,HBM2,32,H_PREFETCH_M,30,245760,2378000,103.34735071488646,181990.0
256,HBM2,32,H_PREFETCH_V,16,8192,392000,20.89795918367347,181990.0
256,HBM2,32,H_STORE_V,32,32768,3388000,9.671782762691855,181990.0
256,HBM2,32,_total,1,286720,181990000,1.5754711797351502,181990.0
256,HBM3,8,H_PREFETCH_M,30,245760,5773000,42.57058721635199,185667.0
256,HBM3,8,H_PREFETCH_V,16,8192,526000,15.574144486692015,185667.0
256,HBM3,8,H_STORE_V,32,32768,3536000,9.266968325791854,185667.0
256,HBM3,8,_total,1,286720,185667000,1.5442701180069696,185667.0
256,HBM3,16,H_PREFETCH_M,30,245760,4812000,51.072319201995015,184646.0
256,HBM3,16,H_PREFETCH_V,16,8192,506000,16.1897233201581,184646.0
256,HBM3,16,H_STORE_V,32,32768,3496000,9.37299771167048,184646.0
256,HBM3,16,_total,1,286720,184646000,1.5528091591477746,184646.0
256,HBM3,32,H_PREFETCH_M,30,245760,4337000,56.665898086234726,184053.0
256,HBM3,32,H_PREFETCH_V,16,8192,496000,16.516129032258064,184053.0
256,HBM3,32,H_STORE_V,32,32768,3388000,9.671782762691855,184053.0
256,HBM3,32,_total,1,286720,184053000,1.5578121519344972,184053.0
512,HBM2,8,H_PREFETCH_M,50,409600,5432000,75.40500736377025,269720.0
512,HBM2,8,H_PREFETCH_V,16,8192,398000,20.582914572864322,269720.0
512,HBM2,8,H_STORE_V,32,32768,3966000,8.262228946041352,269720.0
512,HBM2,8,_total,1,450560,269720000,1.6704730831973902,269720.0
512,HBM2,16,H_PREFETCH_M,50,409600,4397000,93.1544234705481,268211.0
512,HBM2,16,H_PREFETCH_V,16,8192,394000,20.791878172588834,268211.0
512,HBM2,16,H_STORE_V,32,32768,3496000,9.37299771167048,268211.0
512,HBM2,16,_total,1,450560,268211000,1.6798714444970562,268211.0
512,HBM2,32,H_PREFETCH_M,50,409600,4018000,101.94126431060228,267722.0
512,HBM2,32,H_PREFETCH_V,16,8192,392000,20.89795918367347,267722.0
512,HBM2,32,H_STORE_V,32,32768,3388000,9.671782762691855,267722.0
512,HBM2,32,_total,1,450560,267722000,1.6829397658765435,267722.0
512,HBM3,8,H_PREFETCH_M,50,409600,10052000,40.74810982888978,274468.0
512,HBM3,8,H_PREFETCH_V,16,8192,526000,15.574144486692015,274468.0
512,HBM3,8,H_STORE_V,32,32768,3966000,8.262228946041352,274468.0
512,HBM3,8,_total,1,450560,274468000,1.6415757028141715,274468.0
512,HBM3,16,H_PREFETCH_M,50,409600,8171000,50.128503243177086,272097.0
512,HBM3,16,H_PREFETCH_V,16,8192,506000,16.1897233201581,272097.0
512,HBM3,16,H_STORE_V,32,32768,3496000,9.37299771167048,272097.0
512,HBM3,16,_total,1,450560,272097000,1.6558800721801417,272097.0
512,HBM3,32,H_PREFETCH_M,50,409600,7371000,55.5691222357889,271179.0
512,HBM3,32,H_PREFETCH_V,16,8192,496000,16.516129032258064,271179.0
512,HBM3,32,H_STORE_V,32,32768,3388000,9.671782762691855,271179.0
512,HBM3,32,_total,1,450560,271179000,1.6614855870107936,271179.0
1024,HBM2,8,H_PREFETCH_M,90,737280,10601000,69.54815583435524,443017.0
1024,HBM2,8,H_PREFETCH_V,16,8192,398000,20.582914572864322,443017.0
1024,HBM2,8,H_STORE_V,32,32768,3910000,8.380562659846548,443017.0
1024,HBM2,8,_total,1,778240,443017000,1.7566820234889406,443017.0
1024,HBM2,16,H_PREFETCH_M,90,737280,8006000,92.09093180114914,439856.0
1024,HBM2,16,H_PREFETCH_V,16,8192,394000,20.791878172588834,439856.0
1024,HBM2,16,H_STORE_V,32,32768,3348000,9.787335722819593,439856.0
1024,HBM2,16,_total,1,778240,439856000,1.7693063184314866,439856.0
1024,HBM2,32,H_PREFETCH_M,90,737280,7481000,98.55366929554872,439213.0
1024,HBM2,32,H_PREFETCH_V,16,8192,392000,20.89795918367347,439213.0
1024,HBM2,32,H_STORE_V,32,32768,3232000,10.138613861386139,439213.0
1024,HBM2,32,_total,1,778240,439213000,1.7718965513315863,439213.0
1024,HBM3,8,H_PREFETCH_M,90,737280,23990000,30.732805335556485,456534.0
1024,HBM3,8,H_PREFETCH_V,16,8192,526000,15.574144486692015,456534.0
1024,HBM3,8,H_STORE_V,32,32768,3910000,8.380562659846548,456534.0
1024,HBM3,8,_total,1,778240,456534000,1.7046704078995214,456534.0
1024,HBM3,16,H_PREFETCH_M,90,737280,14920000,49.41554959785523,446882.0
1024,HBM3,16,H_PREFETCH_V,16,8192,506000,16.1897233201581,446882.0
1024,HBM3,16,H_STORE_V,32,32768,3348000,9.787335722819593,446882.0
1024,HBM3,16,_total,1,778240,446882000,1.7414888046508923,446882.0
1024,HBM3,32,H_PREFETCH_M,90,737280,13761000,53.5775016350556,445597.0
1024,HBM3,32,H_PREFETCH_V,16,8192,496000,16.516129032258064,445597.0
1024,HBM3,32,H_STORE_V,32,32768,3232000,10.138613861386139,445597.0
1024,HBM3,32,_total,1,778240,445597000,1.7465108607104625,445597.0
2048,HBM2,8,H_PREFETCH_M,170,1392640,21540000,64.65366759517178,790328.0
2048,HBM2,8,H_PREFETCH_V,16,8192,398000,20.582914572864322,790328.0
2048,HBM2,8,H_STORE_V,32,32768,3910000,8.380562659846548,790328.0
2048,HBM2,8,_total,1,1433600,790328000,1.8139304187628429,790328.0
2048,HBM2,16,H_PREFETCH_M,170,1392640,18185000,76.58179818531757,786583.0
2048,HBM2,16,H_PREFETCH_V,16,8192,394000,20.791878172588834,786583.0
2048,HBM2,16,H_STORE_V,32,32768,3524000,9.298524404086265,786583.0
2048,HBM2,16,_total,1,1433600,786583000,1.822566722138668,786583.0
2048,HBM2,32,H_PREFETCH_M,170,1392640,13798000,100.93056964777504,782044.0
2048,HBM2,32,H_PREFETCH_V,16,8192,392000,20.89795918367347,782044.0
2048,HBM2,32,H_STORE_V,32,32768,3374000,9.711914641375223,782044.0
2048,HBM2,32,_total,1,1433600,782044000,1.8331449381364733,782044.0
2048,HBM3,8,H_PREFETCH_M,170,1392640,37165000,37.47181487959101,806081.0
2048,HBM3,8,H_PREFETCH_V,16,8192,526000,15.574144486692015,806081.0
2048,HBM3,8,H_STORE_V,32,32768,3910000,8.380562659846548,806081.0
2048,HBM3,8,_total,1,1433600,806081000,1.778481318874902,806081.0
2048,HBM3,16,H_PREFETCH_M,170,1392640,40642000,34.26603021504847,809152.0
2048,HBM3,16,H_PREFETCH_V,16,8192,506000,16.1897233201581,809152.0
2048,HBM3,16,H_STORE_V,32,32768,3524000,9.298524404086265,809152.0
2048,HBM3,16,_total,1,1433600,809152000,1.7717313928656173,809152.0
2048,HBM3,32,H_PREFETCH_M,170,1392640,25625000,54.3469268292683,793975.0
2048,HBM3,32,H_PREFETCH_V,16,8192,496000,16.516129032258064,793975.0
2048,HBM3,32,H_STORE_V,32,32768,3374000,9.711914641375223,793975.0
2048,HBM3,32,_total,1,1433600,793975000,1.8055984130482698,793975.0
