hbm_gen,channels,amount,count,bytes_per_transfer,dt_ps_per_transfer,achieved_gbps
HBM2,8,64,32,8192.0,119468.75,68.57023280146483
HBM2,16,64,32,8192.0,103468.75,79.17366354575657
HBM2,32,64,32,8192.0,100125.0,81.81772784019975
HBM3,8,64,32,8192.0,223500.0,36.65324384787472
HBM3,16,64,32,8192.0,191562.5,42.76411092985318
HBM3,32,64,32,8192.0,171687.5,47.71459774299235
HBM2,8,128,32,16384.0,200312.5,81.79219968798752
HBM2,16,128,32,16384.0,133531.25,122.69787034870116
HBM2,32,128,32,16384.0,121000.0,135.40495867768595
HBM3,8,128,32,16384.0,360593.75,45.43617297859433
HBM3,16,128,32,16384.0,251812.5,65.06428394142468
HBM3,32,128,32,16384.0,208812.5,78.4627357078719
HBM2,8,256,32,32768.0,354281.25,92.49148804798448
HBM2,16,256,32,32768.0,234375.0,139.81013333333334
HBM2,32,256,32,32768.0,161656.25,202.70172047167986
HBM3,8,256,32,32768.0,651531.25,50.29382704206437
HBM3,16,256,32,32768.0,429781.25,76.2434377953901
HBM3,32,256,32,32768.0,281312.5,116.4825594312375
HBM2,8,512,32,65536.0,663468.75,98.7778248787151
HBM2,16,512,32,65536.0,416156.25,157.47931215739283
HBM2,32,512,32,65536.0,278062.5,235.68801977972578
HBM3,8,512,32,65536.0,1226656.25,53.426540646574786
HBM3,16,512,32,65536.0,759000.0,86.34519104084322
HBM3,32,512,32,65536.0,493812.5,132.71433995696748
HBM2,8,1024,32,131072.0,1284156.25,102.06857615652301
HBM2,16,1024,32,131072.0,787312.5,166.48027308089226
HBM2,32,1024,32,131072.0,501875.0,261.16463262764637
HBM3,8,1024,32,131072.0,2383218.75,54.99788888451805
HBM3,16,1024,32,131072.0,1438968.75,91.08745412296132
HBM3,32,1024,32,131072.0,886437.5,147.86378058238736
HBM2,8,2048,32,262144.0,2521937.5,103.9454784268048
HBM2,16,2048,32,262144.0,1528406.25,171.51460876321332
HBM2,32,2048,32,262144.0,939406.25,279.05285918632114
HBM3,8,2048,32,262144.0,4677750.0,56.04061781839559
HBM3,16,2048,32,262144.0,2797218.75,93.71594552624816
HBM3,32,2048,32,262144.0,1668781.25,157.08709574727067
HBM2,8,4096,32,524288.0,4983406.25,105.20675491788373
HBM2,16,4096,32,524288.0,3010218.75,174.16940214062515
HBM2,32,4096,32,524288.0,1816656.25,288.6005539022586
HBM3,8,4096,32,524288.0,9233156.25,56.78318289046608
HBM3,16,4096,32,524288.0,5514406.25,95.07605646573465
HBM3,32,4096,32,524288.0,3216718.75,162.98844902122698
